ID,Expression,HalideResult,HalideTime
3,( == ( * v0 2 ) ( - ( + ( * v0 2 ) ( + ( * ( - ( / ( min ( + ( * ( min ( / ( min ( + ( * v1 2 ) 1 ) v2 ) 2 ) v1 ) 2 ) 1 ) v2 ) 2 ) v1 ) 4 ) 8 ) ) 1 ) ),0,241
43,( == ( - ( * ( / ( + ( + v0 v1 ) 93 ) 2 ) 2 ) 19 ) ( - ( + ( - ( * ( / ( + ( + v0 v1 ) 93 ) 2 ) 2 ) 19 ) ( + ( * ( % ( + ( + v0 v1 ) 1 ) 2 ) 2 ) 70 ) ) 1 ) ),0,185
57,( >= 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 8 ) 220 ) 32 ) ) 1 ) ),0,40
62,( >= ( max ( / ( + ( - ( max v0 0 ) v1 ) 1 ) 32 ) 0 ) ( - ( + ( max ( / ( + ( - ( max v0 0 ) v1 ) 1 ) 32 ) 0 ) ( + ( - ( max ( / ( - ( max v0 0 ) v1 ) 32 ) -1 ) ( max ( / ( + ( - ( max v0 0 ) v1 ) 1 ) 32 ) 0 ) ) 1 ) ) 1 ) ),0,2828
102,( == ( - ( * ( / ( min ( / v0 8 ) 0 ) 16 ) 16 ) 10 ) ( - ( + ( - ( * ( / ( min ( / v0 8 ) 0 ) 16 ) 16 ) 10 ) ( + ( * v1 16 ) 39 ) ) 1 ) ),0,142
103,( >= ( max ( / ( + v0 5 ) 253 ) 0 ) ( - ( + ( max ( / ( + v0 5 ) 253 ) 0 ) ( max ( - ( / ( + v0 257 ) 253 ) ( max ( / ( + v0 5 ) 253 ) 0 ) ) 0 ) ) 1 ) ),0,683
106,( == 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 2 ) 251 ) 4 ) ) 1 ) ),0,61
121,( == ( * ( / ( * ( min ( + ( * v2 1088 ) ( * ( min v1 0 ) 8 ) ) ( + ( * ( min ( + ( * v2 136 ) ( min v1 0 ) ) ( + v3 12 ) ) 8 ) 4 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( * v2 1088 ) ( * ( min v1 0 ) 8 ) ) ( + ( * ( min ( + ( * v2 136 ) ( min v1 0 ) ) ( + v3 12 ) ) 8 ) 4 ) ) -1 ) ),0,1736
123,( == ( - ( * ( max v0 233 ) 2 ) 705 ) ( - ( + ( - ( * ( max v0 233 ) 2 ) 705 ) ( - 708 ( * ( max v0 233 ) 2 ) ) ) 1 ) ),0,106
145,( == ( * ( / ( min ( + ( * v0 32 ) ( * ( * ( + ( / v1 63 ) ( * v2 2 ) ) 2 ) 32 ) ) ( + ( * ( min ( * ( min ( / ( min ( + ( * v0 4 ) ( * ( * ( + ( / v1 63 ) ( * v2 2 ) ) 2 ) 4 ) ) ( + ( * ( min ( / ( - ( + v3 v1 ) 1 ) 63 ) ( + ( + ( / v1 63 ) ( * v2 2 ) ) 1 ) ) 8 ) 4 ) ) 4 ) ( + v0 ( * ( + ( / v1 63 ) ( * v2 2 ) ) 2 ) ) ) 4 ) ( + ( * ( min ( / ( - ( + v3 v1 ) 1 ) 63 ) ( + ( + ( / v1 63 ) ( * v2 2 ) ) 1 ) ) 8 ) 4 ) ) 8 ) 28 ) ) 4 ) 4 ) ( min ( + ( * v0 32 ) ( * ( * ( + ( / v1 63 ) ( * v2 2 ) ) 2 ) 32 ) ) ( + ( * ( min ( * ( min ( / ( min ( + ( * v0 4 ) ( * ( * ( + ( / v1 63 ) ( * v2 2 ) ) 2 ) 4 ) ) ( + ( * ( min ( / ( - ( + v3 v1 ) 1 ) 63 ) ( + ( + ( / v1 63 ) ( * v2 2 ) ) 1 ) ) 8 ) 4 ) ) 4 ) ( + v0 ( * ( + ( / v1 63 ) ( * v2 2 ) ) 2 ) ) ) 4 ) ( + ( * ( min ( / ( - ( + v3 v1 ) 1 ) 63 ) ( + ( + ( / v1 63 ) ( * v2 2 ) ) 1 ) ) 8 ) 4 ) ) 8 ) 28 ) ) ),1,206
158,( == ( - ( min ( * ( max ( + v0 v1 ) -1 ) 4 ) -1 ) 9 ) ( - ( + ( - ( min ( * ( max ( + v0 v1 ) -1 ) 4 ) -1 ) 9 ) ( - 12 ( min ( * ( max ( + v0 v1 ) -1 ) 4 ) -1 ) ) ) 1 ) ),0,116
159,( >= ( + ( * ( - ( max ( min v0 121 ) -128 ) ( max ( min v0 249 ) 0 ) ) 8 ) 1080 ) 0 ),0,754
162,( >= ( - ( min ( * ( max v0 -30 ) 16 ) 61 ) 65 ) ( - ( + ( - ( min ( * ( max v0 -30 ) 16 ) 61 ) 65 ) ( - 70 ( min ( * ( max v0 -30 ) 16 ) 61 ) ) ) 1 ) ),0,94
190,( == ( - ( * ( max ( min ( / v0 2 ) 999 ) 0 ) 2 ) 4 ) ( - ( + ( - ( * ( max ( min ( / v0 2 ) 999 ) 0 ) 2 ) 4 ) ( + ( * v1 2 ) 12 ) ) 1 ) ),0,150
194,( == 0 ( - ( + 0 ( / ( + ( % ( + v0 v1 ) 8 ) 156 ) 32 ) ) 1 ) ),0,1247
198,( <= ( + ( max ( - ( / ( + ( min ( * v0 32 ) 93 ) v1 ) 4 ) ( + ( / ( + v1 7 ) 4 ) ( * v0 8 ) ) ) 0 ) 12 ) 1024 ),0,861
199,( == ( + ( * ( max ( min v0 -8 ) -135 ) 2 ) 16 ) ( - ( + ( + ( * ( max ( min v0 -8 ) -135 ) 2 ) 16 ) ( - -14 ( * ( max ( min v0 -8 ) -135 ) 2 ) ) ) 1 ) ),0,104
208,( && ( && ( && ( && ( && ( && 1 ( <= ( + 0 ( - v0 3 ) ) ( - v0 1 ) ) ) ( >= ( + 3 ( + v0 61 ) ) ( + v0 64 ) ) ) ( <= ( + v1 v2 ) ( + v1 v2 ) ) ) ( >= ( + v1 v2 ) ( + v1 v2 ) ) ) ( <= v3 v3 ) ) ( >= v3 v3 ) ),1,112
237,( <= ( + ( max ( - ( + ( * ( / ( max ( * v0 8 ) 244 ) 4 ) -4 ) ( + ( * v0 8 ) v1 ) ) ( + ( min ( * v0 8 ) 244 ) v1 ) ) -242 ) 258 ) 1024 ),0,1083
260,( < ( + ( / ( + v0 v1 ) 65 ) 1 ) ( / ( + ( + v0 1 ) v1 ) 65 ) ),0,65
277,( == ( - ( * ( max ( min ( / v0 8 ) 249 ) 0 ) 8 ) 6 ) ( - ( + ( - ( * ( max ( min ( / v0 8 ) 249 ) 0 ) 8 ) 6 ) ( + ( * v1 8 ) 13 ) ) 1 ) ),0,165
278,( == ( - ( min v0 33 ) 33 ) ( - ( + ( - ( min v0 33 ) 33 ) ( - 36 ( min v0 33 ) ) ) 1 ) ),0,84
291,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( max ( + v0 5 ) v1 ) 1 ) ( - v0 1 ) ) ) ( >= ( + v0 4 ) ( + v0 4 ) ) ) ( <= ( + ( + 0 ( - ( + ( + ( min ( * v2 36 ) 96 ) ( * v3 12 ) ) v4 ) 5 ) ) 4 ) ( - ( + ( + ( min ( * v2 36 ) 96 ) ( * v3 12 ) ) v4 ) 1 ) ) ) ( >= ( + ( + 3 ( + ( + ( + ( min ( * v2 36 ) 96 ) ( * v3 12 ) ) v4 ) 8 ) ) 4 ) ( + ( + ( + ( min ( * v2 36 ) 96 ) ( * v3 12 ) ) v4 ) 15 ) ) ) ( <= 0 0 ) ) ( >= 2 2 ) ),0,281
301,( >= ( / ( + v0 v1 ) 16 ) ( + ( + ( / ( + ( - v0 1 ) v1 ) 16 ) 1 ) 1 ) ),0,74
371,( < ( + ( + ( min ( * v0 32 ) 93 ) ( + ( * v1 2 ) v2 ) ) v3 ) ( + ( + ( min ( * v0 32 ) 93 ) ( + ( * v1 2 ) ( + v2 1 ) ) ) v3 ) ),1,92
378,( == ( * ( / ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) 8 ) 8 ) ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) ),0,5367
427,( && ( && ( && ( && ( && ( && 1 ( <= ( - ( + 0 ( - ( + ( * v0 12 ) v1 ) 2 ) ) 1 ) ( - ( - ( + 0 ( + ( * v0 12 ) v1 ) ) 2 ) 1 ) ) ) ( >= ( - ( + 3 ( + ( + ( * ( / ( max ( * v0 12 ) 20 ) 4 ) -4 ) ( + ( * v0 12 ) v1 ) ) 39 ) ) 1 ) ( - ( + ( + ( - ( + 4 0 ) 1 ) ( + ( + ( * ( / ( max ( * v0 12 ) 20 ) 4 ) -4 ) ( + ( * v0 12 ) v1 ) ) 36 ) ) ( - ( - 6 2 ) 1 ) ) 1 ) ) ) ( <= ( - ( + v2 v3 ) 998 ) ( - ( - ( + v2 v3 ) 2 ) 1001 ) ) ) ( >= ( - ( + v2 v3 ) 998 ) ( - ( + ( + v2 v3 ) ( - ( - 6 2 ) 1 ) ) 1001 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ),0,283
433,( == ( - ( * v0 2 ) 14 ) ( - ( + ( - ( * v0 2 ) 14 ) ( + ( * ( - ( - ( min ( + ( + ( min ( * v1 33 ) 32 ) v2 ) 21 ) v3 ) ( * v1 33 ) ) v2 ) 2 ) 24 ) ) 1 ) ),0,222
437,( >= ( - ( max ( * ( % v0 8 ) 32 ) 220 ) 253 ) ( - ( + ( - ( max ( * ( % v0 8 ) 32 ) 220 ) 253 ) ( - 258 ( max ( * ( % v0 8 ) 32 ) 220 ) ) ) 1 ) ),0,101
440,( <= ( + ( / ( + v0 v1 ) 65 ) 1 ) ( - ( / ( + ( - v0 1 ) v1 ) 65 ) 1 ) ),0,67
441,( == ( * ( / ( * ( min ( + ( + ( * ( max ( / ( + ( min ( + ( * v3 -4 ) ( - ( max ( / ( + ( + v4 v2 ) 23 ) 8 ) 249 ) ( min ( / v2 8 ) 4 ) ) ) -1 ) 5 ) 2 ) 0 ) 16 ) ( * v3 32 ) ) ( * ( min ( / v2 8 ) 4 ) 8 ) ) ( + ( * ( min ( + ( + ( * ( max ( / ( + ( min ( + ( * v3 -4 ) ( - ( max ( / ( + ( + v4 v2 ) 23 ) 8 ) 249 ) ( min ( / v2 8 ) 4 ) ) ) -1 ) 5 ) 2 ) 0 ) 2 ) ( * v3 4 ) ) ( min ( / v2 8 ) 4 ) ) ( + ( min ( + ( * v3 4 ) ( - ( min ( / v2 8 ) 4 ) 1 ) ) ( max ( / ( + ( + v4 v2 ) 23 ) 8 ) 249 ) ) 5 ) ) 8 ) 12 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( + ( * ( max ( / ( + ( min ( + ( * v3 -4 ) ( - ( max ( / ( + ( + v4 v2 ) 23 ) 8 ) 249 ) ( min ( / v2 8 ) 4 ) ) ) -1 ) 5 ) 2 ) 0 ) 16 ) ( * v3 32 ) ) ( * ( min ( / v2 8 ) 4 ) 8 ) ) ( + ( * ( min ( + ( + ( * ( max ( / ( + ( min ( + ( * v3 -4 ) ( - ( max ( / ( + ( + v4 v2 ) 23 ) 8 ) 249 ) ( min ( / v2 8 ) 4 ) ) ) -1 ) 5 ) 2 ) 0 ) 2 ) ( * v3 4 ) ) ( min ( / v2 8 ) 4 ) ) ( + ( min ( + ( * v3 4 ) ( - ( min ( / v2 8 ) 4 ) 1 ) ) ( max ( / ( + ( + v4 v2 ) 23 ) 8 ) 249 ) ) 5 ) ) 8 ) 12 ) ) -1 ) ),0,4020
467,( == ( - ( * ( max v0 220 ) 8 ) 1787 ) ( - ( + ( - ( * ( max v0 220 ) 8 ) 1787 ) ( - 1792 ( * ( max v0 220 ) 8 ) ) ) 1 ) ),0,96
475,( < ( + ( + ( * v0 260 ) v1 ) 264 ) ( - ( + ( * ( + v0 1 ) 260 ) v1 ) 4 ) ),0,58
498,( != ( / ( + ( * v0 32 ) 72 ) 7 ) 0 ),0,437
566,( == ( - ( * ( max ( min v0 2 ) -16 ) 8 ) 21 ) ( - ( + ( - ( * ( max ( min v0 2 ) -16 ) 8 ) 21 ) ( - 26 ( * ( max ( min v0 2 ) -16 ) 8 ) ) ) 1 ) ),0,110
569,( == ( - 288 ( * ( + ( max ( min ( * ( / v0 32 ) 4 ) 285 ) 36 ) v1 ) 8 ) ) ( - 2287 ( * ( + ( max ( min ( * ( / v0 32 ) 4 ) 285 ) 36 ) v1 ) 8 ) ) ),0,83
589,( == ( * ( / ( + ( * ( max ( min ( * ( min ( + ( * v1 -1000 ) v2 ) 1000 ) -2 ) 1 ) -62 ) 4 ) ( * ( max ( + ( + ( * ( min ( + ( * v1 -1000 ) ( + v2 v3 ) ) ( + v3 1000 ) ) -8 ) ( * ( / ( + ( * ( min ( + ( * v1 -1000 ) v2 ) 1000 ) 8 ) 1 ) 4004 ) 4004 ) ) ( * v3 8 ) ) -4002 ) -1 ) ) 4 ) 4 ) ( + ( * ( max ( min ( * ( min ( + ( * v1 -1000 ) v2 ) 1000 ) -2 ) 1 ) -62 ) 4 ) ( * ( max ( + ( + ( * ( min ( + ( * v1 -1000 ) ( + v2 v3 ) ) ( + v3 1000 ) ) -8 ) ( * ( / ( + ( * ( min ( + ( * v1 -1000 ) v2 ) 1000 ) 8 ) 1 ) 4004 ) 4004 ) ) ( * v3 8 ) ) -4002 ) -1 ) ) ),0,4594
590,( == ( * ( / ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) 8 ) 8 ) ( min ( - ( max ( min ( min ( + ( + ( + ( min ( * ( / ( + ( min ( + ( * v2 -501 ) ( - v3 ( / v1 2 ) ) ) 499 ) 7 ) 127 ) 127 ) 380 ) ( * v2 501 ) ) ( / v1 2 ) ) 119 ) v3 ) 999 ) 0 ) ( max ( min ( + ( * v2 501 ) ( + ( / v1 2 ) 119 ) ) ( min v3 1125 ) ) 126 ) ) -128 ) ),0,5106
626,( >= ( - 288 ( * ( + ( max ( min ( * ( / v0 32 ) 4 ) 285 ) 36 ) v1 ) 8 ) ) ( - 2287 ( * ( + ( max ( min ( * ( / v0 32 ) 4 ) 285 ) 36 ) v1 ) 8 ) ) ),0,92
645,( >= ( / ( + v0 v1 ) 8 ) ( - ( + ( / ( + v0 v1 ) 8 ) ( / ( + ( % ( + v0 v1 ) 8 ) 143 ) 8 ) ) 1 ) ),0,92
663,( <= ( max 0 ( + ( min ( - 283 ( * ( % v0 32 ) 9 ) ) ( - ( + 0 9 ) 1 ) ) 1 ) ) 0 ),0,63
686,( <= ( max ( / ( + ( % ( + v0 4 ) 8 ) 515 ) 8 ) ( + ( - ( max ( / ( + v0 507 ) 8 ) ( + ( min ( / ( + v0 483 ) 8 ) ( + ( / v0 8 ) ( * ( / ( + ( % ( + ( min ( * v1 1000 ) ( - v2 1000 ) ) v3 ) 8 ) 507 ) 32 ) 4 ) ) ) 3 ) ) ( / v0 8 ) ) 1 ) ) 1024 ),0,2042
689,( == ( - ( * ( + ( * v0 10 ) v1 ) 8 ) 194 ) ( - ( + ( - ( * ( + ( * v0 10 ) v1 ) 8 ) 194 ) ( + ( * v2 8 ) 87 ) ) 1 ) ),0,108
700,( <= ( + ( max ( - ( + ( / ( + ( + ( * v0 250 ) v1 ) 31 ) 8 ) ( * ( / ( + ( + ( - ( * v0 250 ) ( * ( / ( + ( + ( * v0 250 ) v1 ) 15 ) 8 ) 8 ) ) v1 ) 257 ) 24 ) 3 ) ) ( / ( + ( + ( * v0 250 ) v1 ) 15 ) 8 ) ) 2 ) 1 ) 1024 ),0,1881
702,( >= ( max ( / ( + ( - v0 v1 ) 6 ) 87 ) 0 ) ( - ( + ( max ( / ( + ( - v0 v1 ) 6 ) 87 ) 0 ) ( - ( / ( + ( - v0 v1 ) 92 ) 87 ) ( max ( / ( + ( - v0 v1 ) 6 ) 87 ) 0 ) ) ) 1 ) ),1,125
708,( == ( - ( + ( * v0 3 ) ( + v1 v2 ) ) 1 ) ( - ( + ( - ( + ( * v0 3 ) ( + v1 v2 ) ) 1 ) 5 ) 1 ) ),0,61
725,( == ( - ( min v0 0 ) 5 ) ( - ( + ( - ( min v0 0 ) 5 ) ( - 7 ( min v0 0 ) ) ) 1 ) ),0,72
744,( <= ( max 0 ( + ( min ( / ( + ( % ( + ( min ( * v0 64 ) ( - v1 64 ) ) v2 ) 4 ) 55 ) 16 ) ( - ( + 0 5 ) 1 ) ) 1 ) ) 0 ),0,69
751,( && ( && ( && ( && ( && ( && 1 ( <= ( - v0 9 ) ( - ( - ( + ( + ( * ( max -2 0 ) 4 ) v0 ) 0 ) 4 ) 5 ) ) ) ( >= ( + ( + ( * v1 4 ) v0 ) 12 ) ( - ( + ( + ( + ( * ( + v1 3 ) 4 ) v0 ) 3 ) 2 ) 5 ) ) ) ( <= ( - ( + ( + ( + ( * v2 129 ) v3 ) v4 ) 0 ) 8 ) ( - ( - ( + ( + ( * v2 129 ) v3 ) v4 ) 4 ) 10 ) ) ) ( >= ( - ( + ( + ( + ( * v2 129 ) v3 ) v4 ) 3 ) 8 ) ( - ( + ( + ( + ( * v2 129 ) v3 ) v4 ) 2 ) 10 ) ) ) ( <= v5 v5 ) ) ( >= v5 v5 ) ),0,261
756,( != ( + ( / ( * v0 32 ) 13 ) 6 ) 0 ),0,367
764,( <= ( max 0 ( + ( min ( / ( + ( % v0 2 ) 175 ) 89 ) ( - ( + 0 3 ) 1 ) ) 1 ) ) 0 ),0,44
767,( >= 0 ( - ( + 0 ( + ( - ( - ( / ( min ( - ( - ( - ( / ( + ( + v0 v1 ) 7 ) 8 ) ( * v2 128 ) ) ( * v3 32 ) ) ( / v1 8 ) ) ( + ( * ( min ( + ( * v4 3 ) v5 ) 7 ) 4 ) 3 ) ) 4 ) v5 ) ( * v4 3 ) ) 1 ) ) 1 ) ),0,1776
780,( >= ( / ( + ( + v0 v1 ) v2 ) 4 ) ( + ( + ( / ( + ( + ( - v0 1 ) v1 ) v2 ) 4 ) 1 ) 1 ) ),0,115
786,( && ( && ( && ( && ( && ( && 1 ( <= ( + ( + 0 ( + ( max ( * v0 500 ) -2 ) v1 ) ) 2 ) ( + ( * v0 500 ) v1 ) ) ) ( >= ( + ( + 1 ( + ( + ( * ( / ( min ( * v0 500 ) -2 ) 2 ) 2 ) ( + ( max ( * v0 500 ) -2 ) v1 ) ) 500 ) ) 2 ) ( + ( + ( * v0 500 ) v1 ) 501 ) ) ) ( <= ( + ( + ( * 0 4 ) v2 ) 0 ) v2 ) ) ( >= ( + ( + ( * 31 4 ) v2 ) 3 ) ( + v2 124 ) ) ) ( <= 0 0 ) ) ( >= 0 0 ) ),0,283
789,( == ( * ( / ( * ( min ( + ( * ( % v3 ( / ( + v4 19 ) 16 ) ) 128 ) ( + ( * ( / v2 8 ) 8 ) 100 ) ) ( * ( / ( + ( + v1 v2 ) 7 ) 8 ) 8 ) ) -1 ) 4 ) 4 ) ( * ( min ( + ( * ( % v3 ( / ( + v4 19 ) 16 ) ) 128 ) ( + ( * ( / v2 8 ) 8 ) 100 ) ) ( * ( / ( + ( + v1 v2 ) 7 ) 8 ) 8 ) ) -1 ) ),0,1831
800,( < ( + ( + ( min ( * v0 8 ) 118 ) ( + ( * v1 4 ) v2 ) ) v3 ) ( + ( + ( min ( * v0 8 ) 118 ) ( + ( * v1 4 ) ( + v2 1 ) ) ) v3 ) ),1,91
825,( >= ( / ( + ( - ( max ( / ( + ( + v0 v1 ) 3 ) 4 ) 499 ) ( min ( / v1 4 ) 0 ) ) 254 ) 252 ) 0 ),1,75
848,( >= ( max ( / ( + v0 23 ) 516 ) 0 ) ( - ( + ( max ( / ( + v0 23 ) 516 ) 0 ) ( max ( - ( / ( + v0 538 ) 516 ) ( max ( / ( + v0 23 ) 516 ) 0 ) ) 0 ) ) 1 ) ),0,772
858,( == ( + ( * v0 32 ) ( + v1 v2 ) ) ( - ( + ( + ( * v0 32 ) ( + v1 v2 ) ) 32 ) 1 ) ),0,21
865,( >= ( - v3 12 ) ( - ( + ( - v3 12 ) ( + ( - ( max v0 0 ) ( max ( min ( + v1 v2 ) 2007 ) ( + ( max v0 1 ) 13 ) ) ) 14 ) ) 1 ) ),0,1550
871,( >= ( / ( + ( - ( max ( * ( / ( + ( + v0 v1 ) 31 ) 32 ) 32 ) 1964 ) ( min ( * ( / v1 32 ) 32 ) 36 ) ) 209 ) 132 ) 0 ),1,82
880,( == ( - ( min ( * ( max ( + ( * v0 5 ) v1 ) 8 ) 16 ) 140 ) 140 ) ( - 6 ( * v2 4 ) ) ),0,61
883,( >= ( max ( / ( + ( - v0 v1 ) 1 ) 128 ) 0 ) ( - ( + ( max ( / ( + ( - v0 v1 ) 1 ) 128 ) 0 ) ( + ( - ( / ( - v0 v1 ) 128 ) ( max ( / ( + ( - v0 v1 ) 1 ) 128 ) 0 ) ) 1 ) ) 1 ) ),1,152
884,( == ( * ( / ( min ( * ( min ( - ( min ( + ( * v0 -4 ) ( + ( min ( + ( max v1 249 ) ( * v2 -16 ) ) ( + ( min v3 0 ) 15 ) ) 8 ) ) v3 ) ( min v3 0 ) ) 0 ) 8 ) ( - ( * v4 12 ) 20 ) ) 4 ) 4 ) ( min ( * ( min ( - ( min ( + ( * v0 -4 ) ( + ( min ( + ( max v1 249 ) ( * v2 -16 ) ) ( + ( min v3 0 ) 15 ) ) 8 ) ) v3 ) ( min v3 0 ) ) 0 ) 8 ) ( - ( * v4 12 ) 20 ) ) ),1,296
899,( == ( * ( / ( * ( min ( * ( % v0 8 ) 33 ) 225 ) -8 ) 24 ) 24 ) ( * ( min ( * ( % v0 8 ) 33 ) 225 ) -8 ) ),0,919
927,( == ( * ( / ( min ( + ( * v0 252 ) ( - ( * ( max ( min ( / v1 4 ) 499 ) 0 ) 4 ) 5 ) ) ( - ( * ( max ( min ( / ( - ( + v2 v1 ) 1 ) 4 ) 499 ) 0 ) 4 ) 249 ) ) 8 ) 8 ) ( min ( + ( * v0 252 ) ( - ( * ( max ( min ( / v1 4 ) 499 ) 0 ) 4 ) 5 ) ) ( - ( * ( max ( min ( / ( - ( + v2 v1 ) 1 ) 4 ) 499 ) 0 ) 4 ) 249 ) ) ),0,1474
935,( < ( - ( + ( + ( * v0 1011 ) v1 ) v2 ) 6 ) ( - ( + ( + ( * v0 1011 ) v1 ) ( + v2 1 ) ) 11 ) ),0,86
952,( == ( - ( * ( max ( min ( + v0 v1 ) 249 ) 0 ) 8 ) 13 ) ( - ( + ( - ( * ( max ( min ( + v0 v1 ) 249 ) 0 ) 8 ) 13 ) 19 ) 1 ) ),0,97
954,( == ( - ( * v0 8 ) 60 ) ( - ( + ( - ( * v0 8 ) 60 ) ( + ( * ( max ( * v1 29 ) 57 ) -8 ) 693 ) ) 1 ) ),0,111
961,( == ( * ( / ( min ( + ( * v1 -112 ) ( + ( * ( / ( + ( + v2 v3 ) 1999 ) 2000 ) 256 ) 464 ) ) ( + ( min ( * v4 64 ) 48 ) ( * ( / v3 2000 ) 256 ) ) ) 16 ) 16 ) ( min ( + ( * v1 -112 ) ( + ( * ( / ( + ( + v2 v3 ) 1999 ) 2000 ) 256 ) 464 ) ) ( + ( min ( * v4 64 ) 48 ) ( * ( / v3 2000 ) 256 ) ) ) ),0,1553
969,( == ( - ( * ( max ( min v0 0 ) -3 ) 8 ) 4 ) ( - ( + ( - ( * ( max ( min v0 0 ) -3 ) 8 ) 4 ) ( - 9 ( * ( max ( min v0 0 ) -3 ) 8 ) ) ) 1 ) ),0,102
973,( < ( - ( + v0 v1 ) 6 ) ( - ( + ( + v0 1 ) v1 ) 11 ) ),0,55
